Canción,Artista / Grupo,"Categoría ",Tipo musical,Dominio de la iglesia,Dominio del equipo,Complejidad técnica,Link,Clásicos IBAMI
Toda lengua y toda nación,Tomatulugar,"Declaración Doctrinal, Gozo / Celebración","Celebración Rítmica, Worship contemporáneo",Nueva,Por entrar,Avanzada,https://music.youtube.com/watch?v=SdRdqJgmb5U&si=HbwUep47eEGTLWSt,Yes
"Supe que me amabas ",Marcela Gándara,"Confesión / Arrepentimiento, Consagración / Entrega",Balada congregacional,Conocida,Por practicar,Intermedia,https://music.youtube.com/watch?v=kE7PCX7wdGM&si=YhEXzjOApHArErPt,No
"A Dios sea la Gloria ",Danny Berrios,"Acción de Gracias, Consagración / Entrega",Balada congregacional,Conocida,Ensamblada,Intermedia,https://music.youtube.com/watch?v=A0BXNl8uozI&si=G1S240CjHpJMiJ6M,No
Tu Mirada (25 aniversario),Marcos Witt,Consagración / Entrega,Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=vle5H40SGEU&si=JqrPkMKuL4TIAnu2,No
Hermoso Eres (25 aniversario),Marcos Witt,"Acción de Gracias, Consagración / Entrega",Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=WotExLBLsS4&si=BuMVxfrAN3Rz-lS_,No
"Canta Al Señor ",Ingrid Rosario,"Declaración Doctrinal, Exaltación / Gloria","Balada congregacional, Coral, Especial",Conocida,Por practicar,Básica,https://music.youtube.com/watch?v=wNQO8B4vbVE&si=GLLRXZ75QdlK32mx,No
El Poder de Tu Amor,Ingrid Rosario,"Declaración Doctrinal, Exaltación / Gloria","Balada congregacional, Coral, Especial",Conocida,Por practicar,Intermedia,https://music.youtube.com/watch?v=wNQO8B4vbVE&si=GLLRXZ75QdlK32mx,No
"Digno es el señor ",Vino Nuevo,"Acción de Gracias, Declaración Doctrinal, Exaltación / Gloria","Balada congregacional, Especial",Conocida,Ensamblada,Básica,https://music.youtube.com/watch?v=7BVNNPHftbo&si=V_1sTGL3XBzTW_cA,No
"Enamórame ",Abel Zabala,"Consagración / Entrega, Evangelización / Misión",Balada congregacional,Conocida,Ensamblada,Básica,https://music.youtube.com/watch?v=PcxOm1SMsNo&si=gwtxUa1YDD_KsS-u,Yes
"Eres Fiel ",Coalo Zamorano,"Exaltación / Gloria, Gozo / Celebración","Celebración Rítmica, Especial",Dominada,Ensamblada,Básica,https://music.youtube.com/watch?v=yLNXFrzFqnI&si=7bpYYhSrn0-1wq0_,Yes
